objID,run,ra,dec,rerun,camcol,field,z,zErr,template_photo_z,template_photo_zErr,bin
1237651735227138628,1458,196.14173633011,1.60639187669945,301,1,476,0.5572907,0.0001927066,0.6188,0.090297,4
1237651272962080846,1350,130.733690904266,54.8545495619665,301,4,183,0.2204136,3.952687e-05,0.243981,0.02194,1
1237651252050068554,1345,242.266810327902,50.2594514218781,301,5,579,0.6101758,0.000177565,0.52812,0.023542,5
1237651272435434073,1350,173.629007481871,66.6782962861994,301,3,339,0.5447207,0.0001206002,0.50374,0.026925,4
1237648720156230225,756,178.283763416477,-0.89726757135788,301,1,417,0.590584,0.0002690998,0.572182,0.036312,4
1237651538189222600,1412,242.539374595867,51.6093705114845,301,2,380,0.5307166,0.0001645589,0.543609,0.035661,4
1237651251487179527,1345,134.421777098621,54.0902016978133,301,4,182,0.5623716,0.0001655396,0.608586,0.03924,4
1237650761859466016,1231,193.275279079862,-2.44839177665457,301,4,160,0.5455324,4.476969e-05,0.589665,0.042718,4
1237651250967282511,1345,211.40805262157,62.4024027317255,301,3,441,0.4753983,0.0001017424,0.492386,0.042166,3
1237651273514222145,1350,203.283486469358,67.0303998891067,301,5,416,0.5940933,6.999664e-05,0.56908,0.040105,4
1237648721219027075,756,153.310595840174,-0.0907735646390042,301,3,250,0.3603919,8.949866e-05,0.349414,0.056968,2
1237651736821957514,1458,159.990429367473,2.6605850848717,301,4,235,0.5408219,0.000207618,0.553599,0.044135,4
1237651251503169877,1345,206.867968349545,63.6719413119258,301,4,426,0.4707848,0.0001206178,0.493289,0.031171,3
1237651250940150367,1345,114.519642366955,35.415708683377,301,3,27,0.504887,0.0001080383,0.49736,0.034175,4
1237651539781484735,1412,158.843450258458,66.1492715163422,301,5,100,0.2872736,5.319907e-05,0.276784,0.020912,1
1237648705124237703,752,206.841411302392,0.512281012484512,301,5,423,0.5785467,0.0001402945,0.581117,0.030907,4
1237651271366738326,1350,201.882818232425,65.4174948585039,301,1,416,0.4029747,6.139687e-05,0.372348,0.023553,3
1237651191896998502,1331,136.691033742015,55.6224965835107,301,5,220,0.4412072,0.0001515027,0.506153,0.042235,3
1237651250979276018,1345,247.605412968531,44.5484021449108,301,3,624,0.7496173,0.0002202596,0.679026,0.034454,6
1237648722828329400,756,150.236342021685,1.08495459478809,301,6,230,0.5410461,9.52238e-05,0.569802,0.029717,4
1237651271882376241,1350,119.315953073942,43.4107903138345,301,2,92,0.775086,0.0002681673,0.905024,0.048532,6
1237651190825288474,1331,144.183536857772,57.9529971832823,301,3,251,0.905448,0.0002738801,0.94632,0.059724,8
1237651272429208102,1350,143.882691659749,60.7754263756652,301,3,244,0.3934109,0.0001024274,0.434407,0.054945,2
1237651192429150812,1331,124.397525343888,47.9648926079135,301,6,148,0.4587249,0.000186693,0.477866,0.041355,3
1237651067349369522,1302,164.461306108006,64.3072521864786,301,5,318,0.6284087,0.0001565921,0.590974,0.045769,5
1237651538189222011,1412,242.408543582767,51.6289856749929,301,2,380,0.5433658,0.0001584381,0.59198,0.030311,4
1237649919508611094,1035,29.0599887077122,13.4820237440975,301,3,154,0.4224226,7.636978e-05,0.47002,0.020466,3
1237651252587987543,1345,245.027067893357,48.7605846980771,301,6,595,0.7601854,0.0002309137,0.77474,0.05523,6
1237651067348713815,1302,161.07892193926,63.8335346437505,301,5,308,0.4330415,8.651718e-05,0.464873,0.068485,3
1237651250942509767,1345,118.270453569182,39.944922162284,301,3,63,0.4521306,7.778736e-05,0.476452,0.04089,3
1237651272969486368,1350,157.978142856538,65.1960882794771,301,4,296,0.6637267,0.0002385571,0.592329,0.041419,5
1237648721253892751,756,232.850614743138,-0.139112372032644,301,3,782,0.3535848,5.19797e-05,0.336792,0.020011,2
1237651752407597621,1462,198.089036404011,1.34211491948355,301,1,485,0.5059706,0.0001263439,0.513231,0.070489,4
1237651496295006520,1402,120.156788496286,46.2160920714624,301,4,101,0.2387948,2.212218e-05,0.181415,0.032509,1
1237649918427791993,1035,12.4787420588627,13.7492793494882,301,1,46,0.5482639,0.0001515818,0.52012,0.032098,4
1237650761852191441,1231,176.662318848613,-2.45966211378089,301,4,49,0.5139137,0.0001140356,0.523667,0.033622,4
1237651251478725683,1345,116.733912238753,38.8630313706206,301,4,53,0.4954161,0.0001464007,0.579293,0.032476,3
1237651736308089883,1458,212.570897256915,2.12919936951224,301,3,586,0.636268,0.0002817928,0.610046,0.037135,5
